transporter_density,Vmax,KD,affinity,ontology,name,diffusivity,zdistr,response,genome_size,cell_size,mingt,sav,yield
0.002454530461748853,0.10552211858849239,0.0006044059173816937,174.58816261365817,Amino acids,2-aminoisobutyric acid ,7.283438430355926e-10,0.49044585987261147,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.25
7.359138163178586e-5,0.005536560896737826,0.0001373811655224827,40.30072736449275,Organic acids,"2,3-Dihydroxybenzoic acid",6.236957811392702e-10,0.028662420382165613,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.1646153846153846
7.359138163178586e-5,0.005536560896737826,0.0001433703707042319,38.61719035489947,Organic acids,3-Dehydroshikimic acid,5.976412903411641e-10,0.028662420382165613,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.1646153846153846
0.0018408978463116399,0.09892698617671163,0.000503121487087845,196.62643857514075,Amino acids,5-aminovaleric acid,6.933573830169636e-10,0.49044585987261147,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.2
3.073855402004594e-5,0.004955526209223031,0.0001565827384761779,31.647972550799093,Organic acids,abscisic acid,5.06461300067235e-10,0.028662420382165613,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.06666666666666667
1.6718716250219235e-5,0.0008984378001699358,0.00011767501716504864,7.634906897101233,Nucleotides,adenine,6.561757090850143e-10,0.003184713375796179,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.42799999999999994
5.577238935726325e-6,0.0005994242865830522,0.00014982011718799157,4.000959936714676,Nucleotides,adenosine,5.043146345943043e-10,0.003184713375796179,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.14266666666666666
0.0038153323239619483,0.1230180138985015,0.0008341789506283861,147.47197085928886,Amino acids,alanine,7.706309591310016e-10,0.49044585987261147,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.3566666666666666
0.00011749890956468074,0.00631420859423185,0.00014484420542608555,43.59310457506711,Organic acids,alpha-ketoglutaric acid ,6.366982937494898e-10,0.028662420382165613,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.26749999999999996
0.0015236927245619292,0.09825705173307701,0.0005069962677785124,193.80231764546605,Amino acids,arginine,5.948956938596418e-10,0.49044585987261147,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.19454545454545452
0.002861499242971461,0.12301801389850149,0.0007566269666855765,162.58740345640206,Amino acids,asparagine ,6.619042365929271e-10,0.49044585987261147,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.35666666666666663
0.0012272652308744265,0.09233185376493085,0.00041799721549762276,220.89107377189205,Amino acids,betonicine,6.159626358465329e-10,0.49044585987261147,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.14285714285714285
4.781552847562702e-5,0.005139064216972033,0.00015676787826944186,32.78135976388838,Organic acids,biotin ,5.220835253281858e-10,0.028662420382165613,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.1
5.426730848431818e-5,0.005249233311156806,0.00014101337040151193,37.22507515571392,Organic acids,caffeic acid,5.872253244478176e-10,0.028662420382165613,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.11888888888888886
0.0018408978463116399,0.09892698617671163,0.0004808321255908095,205.74121592886033,Amino acids,choline,7.254985244552865e-10,0.49044585987261147,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.2
9.409761434707942e-5,0.006067991276599632,0.00014913412207123795,40.68814830787747,Organic acids,cis-aconitic acid,5.950181723713309e-10,0.028662420382165613,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.23777777777777773
6.1969321508070274e-6,0.0005994242865830522,0.00014464677582735563,4.144055635906465,Nucleotides,cytidine,5.229895516174755e-10,0.003184713375796179,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.14266666666666666
0.0013579610087078072,0.08756965425720345,0.0004549633876817881,192.47626650444164,Sugars,rhamnose,6.086902682284674e-10,0.4522292993630574,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.16666666666666666
5.577238935726325e-6,0.0005994242865830522,0.0001498200695803909,4.000961208080413,Nucleotides,deoxyguanosine,5.043147948479325e-10,0.003184713375796179,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.14266666666666666
0.0006212081467098843,0.08011862237621539,0.0003648359218429631,219.60179242081588,Sugars,maltose,4.5836046368265295e-10,0.4522292993630574,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.08916666666666664
0.0006212081467098843,0.08011862237621539,0.0003648359218429631,219.60179242081588,Sugars,sucrose,4.5836046368265295e-10,0.4522292993630574,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.08916666666666664
0.00016723047523859192,0.007189364448613725,0.00014317820098608958,50.21270276550133,Organic acids,fumaric acid ,6.958271943930747e-10,0.028662420382165613,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.35666666666666663
0.002454530461748853,0.10552211858849239,0.0006044059173816937,174.58816261365817,Amino acids,aminobutyric acid,7.283438430355926e-10,0.49044585987261147,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.25
0.012843473346360275,0.2760753102605905,0.0024136322326810357,114.38168024211757,Amino acids,glycine ,8.23311072330442e-10,0.49044585987261147,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.7133333333333333
0.0018408978463116399,0.09892698617671163,0.000503121487087845,196.62643857514075,Amino acids,glycine betaine,6.933573830169636e-10,0.49044585987261147,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.2
2.0565818699194417e-5,0.0011051751004240934,0.00012378069652900034,8.928493144851258,Nucleotides,guanine,6.28436733909175e-10,0.003184713375796179,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.5349999999999999
5.644328825116174e-6,0.0006066348991366651,0.00015324095388542978,3.958699575768852,Nucleotides,guanosine,4.93121882168265e-10,0.003184713375796179,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.15285714285714283
0.001377242402340575,0.08881303677201159,0.00047648141114579374,186.3934976150341,Sugars,fructose,5.872272368802618e-10,0.4522292993630574,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.1783333333333333
0.001377242402340575,0.08881303677201159,0.00047648141114579374,186.3934976150341,Sugars,glucose,5.872272368802618e-10,0.4522292993630574,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.1783333333333333
0.0015614061461506701,0.10068904445466834,0.0004938625784760137,203.88069240917122,Amino acids,histidine,6.220871716032787e-10,0.49044585987261147,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.21399999999999997
0.0025131711212445598,0.10804312483463385,0.0006516849588399284,165.79042276342025,Amino acids,homoserine ,6.889021288306671e-10,0.49044585987261147,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.26749999999999996
1.6718716250219235e-5,0.0008984378001699358,0.00011800529058054493,7.613538306205889,Nucleotides,hypoxanthine,6.5433920335261e-10,0.003184713375796179,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.42799999999999994
1.0648208886406867e-5,0.0011444363579683214,0.0001285561107989207,8.902232269288046,Auxins,indole-3-acetic acid,5.936051170554737e-10,0.006369426751592358,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.10190476190476189
5.577238935726325e-6,0.0005994242865830522,0.00015003293795054335,3.9952846006431306,Nucleotides,inosine ,5.035992675118055e-10,0.003184713375796179,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.14266666666666666
0.001472718277049312,0.09496990672964317,0.00044297611079613966,214.39058318282295,Amino acids,isoleucine ,6.637369191376062e-10,0.49044585987261147,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.16666666666666666
3.912179602551302e-5,0.005045626685754361,0.0001456056485651547,34.65268508107758,Organic acids,jasmonic acid,5.53216142953108e-10,0.028662420382165613,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.08333333333333333
0.002861499242971461,0.12301801389850149,0.00075879876845214,162.12205266152938,Amino acids,L-aspartic acid,6.600097622604758e-10,0.49044585987261147,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.35666666666666663
0.0012272652308744265,0.09233185376493085,0.000420032669366097,219.82064848497575,Amino acids,L-carnitine,6.129777167642586e-10,0.49044585987261147,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.14285714285714285
0.0015236927245619292,0.09825705173307701,0.0005081006053298594,193.38109559875144,Amino acids,L-citrulline,5.936027104485368e-10,0.49044585987261147,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.19454545454545452
0.0019321376812600304,0.10383007295514923,0.0005707794069834387,181.9092834899033,Amino acids,L-glutamate ,6.349720515586365e-10,0.49044585987261147,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.23777777777777773
0.0018736873753808037,0.10068904445466831,0.0005328595254331291,188.9598283390436,Amino acids,L-hydroxyproline,6.638250265083826e-10,0.49044585987261147,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.21399999999999997
0.0019321376812600304,0.10383007295514923,0.0005427153740575099,191.31588659241976,Amino acids,L-pyroglutamic acid,6.678067148348197e-10,0.49044585987261147,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.23777777777777773
0.0009220260730175606,0.08918684400272935,0.00036184909960104006,246.47524092518978,Amino acids,L-tyrosine ,5.859330456913044e-10,0.49044585987261147,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.11263157894736842
0.00022297396698478923,0.007189364448613726,0.0001406465893454654,51.116521787490605,Organic acids,lactic acid,7.67368149294822e-10,0.028662420382165613,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.3566666666666666
0.001472718277049312,0.09496990672964317,0.0004429734516097544,214.391870177603,Amino acids,leucine,6.637409035754372e-10,0.49044585987261147,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.16666666666666666
1.6876068873750713e-5,0.0032648172672528216,0.00015603398678238177,20.92375728248367,Fatty acids,linoleic acid,4.950134252963921e-10,0.019108280254777073,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.05555555555555555
0.001472718277049312,0.09496990672964317,0.0004618971733979056,205.60833059662497,Amino acids,lysine,6.365477339219452e-10,0.49044585987261147,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.16666666666666666
0.00016723047523859192,0.007189364448613725,0.0001513782973769728,47.49270254183312,Organic acids,malic acid,6.581345385481492e-10,0.028662420382165613,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.35666666666666663
0.00030848728048791623,0.009946575903816838,0.00016624717829918985,59.830043466459905,Organic acids,malonic acid ,7.257926772357822e-10,0.028662420382165613,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.5349999999999999
0.0018408978463116399,0.09892698617671163,0.0005523726863682788,179.09463776555177,Amino acids,methionine ,6.31535566902108e-10,0.49044585987261147,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.2
0.0009797698475525307,0.08424209163752137,0.0004066742539211061,207.14881954111647,Sugars,N-acetyl-D-glucosamine ,5.424922281315939e-10,0.4522292993630574,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.13374999999999998
8.904697740946342e-5,0.005742295231153853,0.00012935310196750624,44.39240454083837,Organic acids,nicotinic acid,6.801959252356896e-10,0.028662420382165613,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.19454545454545452
0.0018408978463116399,0.09892698617671163,0.0005270957040112838,187.68315777165552,Amino acids,ornithine,6.618209842578482e-10,0.49044585987261147,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.2
5.37924695350804e-5,0.0052033025196841845,0.0001519843346817813,34.23578180329341,Organic acids,pantothenic acid ,5.443713456080735e-10,0.028662420382165613,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.1111111111111111
0.0017276857617147673,0.09284314488677209,0.0005269248270278965,176.19808390971258,Sugars,arabinose,6.30042943582983e-10,0.4522292993630574,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.21399999999999997
0.0017276857617147673,0.09284314488677209,0.0005269248270278965,176.19808390971258,Sugars,D-ribose,6.30042943582983e-10,0.4522292993630574,positive,6067264,1.6056902629174777e-17,6.09,1.916888564603415e6,0.21399999999999997
