Name,Formula,ChEBI,Molecular_weight,Ontology,Uptake_significance,week3_1,week3_2,week3_3,week3_4,week3,week6_1,week6_2,week6_3,week6_4,week6,week9_1,week9_2,week9_3,week9_4,week9,week12_1,week12_2,week12_3,week12_4,week12,week3_rnorm,week6_rnorm,week9_rnorm,week12_rnorm,rsum
guanine,C5H5N5O,16235,151.126,Nucleotides,no,4.50E+07,5.31E+07,3.23E+07,2.74E+07,3.87E+07,2.07E+08,2.25E+08,2.32E+08,2.28E+08,2.27E+08,1.70E+08,1.72E+08,4.35E+08,3.82E+08,2.77E+08,1.65E+07,4.82E+07,2.84E+07,2.45E+08,3.83E+07,6.66E-02,3.90E-01,4.77E-01,6.60E-02,1
guanosine,C10H13N5O5,16750,283.24092,Nucleotides,yes,4.86E+07,7.52E+07,4.43E+07,5.25E+07,5.06E+07,5.61E+07,6.99E+07,5.39E+07,6.57E+07,6.09E+07,2.96E+07,3.71E+07,4.78E+07,9.69E+07,4.25E+07,2.95E+06,1.40E+06,1.08E+07,1.73E+06,2.34E+06,3.24E-01,3.90E-01,2.72E-01,1.50E-02,1
fructose,C6H12O6,15824,180.15588,Sugars,no,1.44E+08,3.32E+07,2.10E+08,7.37E+07,1.09E+08,2.40E+08,8.68E+07,5.36E+08,8.22E+07,1.63E+08,1.67E+09,2.63E+08,1.59E+08,7.50E+08,5.07E+08,109000,8.34E+08,1.17E+07,1.30E+06,6.50E+06,1.39E-01,2.08E-01,6.45E-01,8.28E-03,1
glucose,C6H12O6,17234,180.15588,Sugars,no,1.45E+08,2.15E+07,6.87E+07,2.62E+07,4.75E+07,3.93E+07,1.71E+07,9.52E+07,1.84E+07,2.89E+07,1.30E+08,3.96E+07,2.90E+07,1.20E+08,7.98E+07,717000,3.60E+07,4.85E+06,673000,2.78E+06,2.99E-01,1.82E-01,5.02E-01,1.75E-02,1
histidine,C6H9N3O2,27570,155.15468,Amino acids,no,7.36E+06,6.75E+06,3.46E+06,3.64E+06,5.20E+06,4.45E+07,5.39E+07,2.87E+07,5.63E+07,4.92E+07,1.87E+07,4.59E+07,3.70E+07,8.64E+07,4.15E+07,8620,6980,2.09E+06,21000,1.48E+04,5.42E-02,5.13E-01,4.32E-01,1.54E-04,1
homoserine ,C4H9NO3,30653,119.1192,Amino acids,no,1.02E+08,2.82E+08,5.07E+07,3.16E+08,1.92E+08,1.74E+08,1.70E+08,1.09E+08,1.48E+08,1.59E+08,6.57E+07,1.47E+08,9.07E+07,1.91E+08,1.19E+08,2.49E+06,2.94E+06,4.97E+07,3.89E+06,3.42E+06,4.06E-01,3.36E-01,2.51E-01,7.22E-03,1
hypoxanthine,C5H4N4O,17368,136.11162,Nucleotides,no,3.05E+08,4.18E+08,1.89E+08,2.29E+08,2.67E+08,1.69E+09,1.71E+09,1.34E+09,1.52E+09,1.61E+09,7.84E+08,7.58E+08,1.25E+09,1.12E+09,9.52E+08,1.16E+08,1.50E+08,2.38E+08,8.52E+08,1.94E+08,8.85E-02,5.32E-01,3.15E-01,6.43E-02,1
indole-3-acetic acid,C10H9NO2 ,16411,175.184,Auxins,yes,1.08E+06,3.82E+06,812000,1.38E+06,1.23E+06,4.08E+06,5.98E+06,1.45E+06,5.70E+06,4.89E+06,1.05E+07,5.20E+06,2.86E+06,6.19E+06,5.70E+06,6.49E+07,1.08E+08,8.15E+06,1.21E+08,8.65E+07,1.25E-02,4.98E-02,5.80E-02,8.80E-01,1
inosine ,C10H12N4O5,17596,268.2261,Nucleotides,no,5.97E+06,8.59E+06,3.00E+06,3.17E+07,7.28E+06,1.19E+07,2.34E+07,1.22E+07,1.52E+07,1.37E+07,1.96E+07,6.74E+06,9.52E+06,7.40E+06,8.46E+06,5.74E+06,2.93E+06,4.42E+06,1.24E+07,5.08E+06,2.11E-01,3.97E-01,2.45E-01,1.47E-01,1
isoleucine ,C6H13NO2,17191,131.175,Amino acids,no,4.47E+08,2.76E+08,2.66E+08,2.80E+08,2.78E+08,9.18E+08,1.01E+09,7.22E+08,1.10E+09,9.64E+08,6.20E+08,7.58E+08,8.81E+08,1.65E+09,8.20E+08,1.06E+07,1.49E+07,1.96E+08,2.54E+07,2.02E+07,1.34E-01,4.63E-01,3.94E-01,9.68E-03,1
jasmonic acid,C12H18O3 ,18292,210.2695,Organic acids,no,5.16E+06,8.32E+06,4.53E+06,6.30E+06,5.73E+06,2.91E+07,2.57E+07,3.47E+07,3.04E+07,2.98E+07,8.32E+06,9.16E+06,8.33E+06,1.05E+07,8.75E+06,4.07E+06,4.81E+06,6.29E+06,3.94E+06,4.44E+06,1.18E-01,6.11E-01,1.80E-01,9.12E-02,1
L-aspartic acid,C4H7NO4,17053,133.1027,Amino acids,no,2.75E+07,1.11E+07,1.01E+07,3.09E+06,1.06E+07,9.16E+07,7.08E+07,5.44E+07,8.69E+07,7.89E+07,7.33E+06,5.80E+07,2.82E+07,1.22E+08,4.31E+07,15200,78100,2.99E+06,98700,8.84E+04,7.99E-02,5.94E-01,3.25E-01,6.66E-04,1
