monomer,ontology,isolate,response,percent_uptake
L-pyroglutamic acid,Amino acids,Sphingomonas sp. URHD0007,positive,0.999998428
L-pyroglutamic acid,Amino acids,Sphingomonas sp. URHD0057,positive,0.999999976
L-pyroglutamic acid,Amino acids,Staphylococcus sp. URHA0057,undefined,0.999999016
L-pyroglutamic acid,Amino acids,Streptomyces sp. URHA0041,positive,0.999314329
L-pyroglutamic acid,Amino acids,Variovorax sp. URHB0020,positive,0.999999775
L-tyrosine ,Amino acids,Acidobacteriaceae bacterium URHE0068,positive,0.99997836
L-tyrosine ,Amino acids,Bacillus sp. URHB0009,negative,0.999899549
L-tyrosine ,Amino acids,Blastococcus sp. URHD0036,undefined,0.999725827
L-tyrosine ,Amino acids,Bradyrhizobium sp. URHA0002,positive,0.99999982
L-tyrosine ,Amino acids,Bradyrhizobium sp. URHA0013,positive,0.999999713
L-tyrosine ,Amino acids,Bradyrhizobium sp. URHD0069,positive,1
L-tyrosine ,Amino acids,Burkholderia sp. URHA0054,positive,0.999998794
L-tyrosine ,Amino acids,Caulobacter sp. URHA0033,positive,0.997988151
L-tyrosine ,Amino acids,Cellulomonas sp. URHD0024,undefined,0.999999764
L-tyrosine ,Amino acids,Cellulomonas sp. URHE0023,undefined,1
L-tyrosine ,Amino acids,Comamonadaceae bacterium URHA0028,positive,0.999999976
L-tyrosine ,Amino acids,Dongia sp. URHE0060,positive,1
L-tyrosine ,Amino acids,Flavobacterium sp. URHB0058,undefined,0.999999988
L-tyrosine ,Amino acids,Geodermatophilaceae bacterium URHA0031,negative,0.99989634
L-tyrosine ,Amino acids,Geodermatophilaceae bacterium URHB0048,negative,0.999998101
L-tyrosine ,Amino acids,Geodermatophilaceae bacterium URHB0062,negative,0.999994277
L-tyrosine ,Amino acids,Intrasporangiaceae bacterium URHB0013,undefined,0.999999975
L-tyrosine ,Amino acids,Lysobacter sp. URHA0019,undefined,1
L-tyrosine ,Amino acids,Marmoricola sp. URHB0036,undefined,0.999979718
L-tyrosine ,Amino acids,Mesorhizobium sp. URHA0056,positive,0.999999984
L-tyrosine ,Amino acids,Mesorhizobium sp. URHB0007,positive,0.999999988
L-tyrosine ,Amino acids,Mesorhizobium sp. URHC0008,positive,0.99999964
L-tyrosine ,Amino acids,Microbacterium sp. URHA0036,undefined,1
L-tyrosine ,Amino acids,Micromonosporaceae bacterium URHE0070,negative,0.999994384
L-tyrosine ,Amino acids,Mycobacterium sp. URHB0044,positive,0.997387006
L-tyrosine ,Amino acids,Mycobacterium sp. URHD0025,positive,0.997692309
L-tyrosine ,Amino acids,Nocardioides sp. URHA0020,undefined,0.999977924
L-tyrosine ,Amino acids,Nocardioides sp. URHA0032,undefined,0.999999933
L-tyrosine ,Amino acids,Paenibacillus sp. URHA0014,negative,1
L-tyrosine ,Amino acids,Pseudomonas sp. URHB0015,positive,0.999763569
L-tyrosine ,Amino acids,Rhodospirillales bacterium URHD0017,positive,1
L-tyrosine ,Amino acids,Rhodospirillales bacterium URHD0088,undefined,1
L-tyrosine ,Amino acids,Solirubrobacter sp. URHD0082,negative,0.999999959
L-tyrosine ,Amino acids,Solirubrobacterales bacterium URHD0059,negative,0.999999252
L-tyrosine ,Amino acids,Sphingomonas sp. URHD0007,positive,0.999996347
L-tyrosine ,Amino acids,Sphingomonas sp. URHD0057,positive,0.999999957
L-tyrosine ,Amino acids,Staphylococcus sp. URHA0057,undefined,0.999999965
L-tyrosine ,Amino acids,Streptomyces sp. URHA0041,positive,0.999970914
L-tyrosine ,Amino acids,Variovorax sp. URHB0020,positive,0.999999962
lactic acid,Organic acids,Acidobacteriaceae bacterium URHE0068,positive,0.62728693
lactic acid,Organic acids,Bacillus sp. URHB0009,negative,0.979234255
lactic acid,Organic acids,Blastococcus sp. URHD0036,undefined,0.757299589
lactic acid,Organic acids,Bradyrhizobium sp. URHA0002,positive,0.999727713
lactic acid,Organic acids,Bradyrhizobium sp. URHA0013,positive,0.999884493
lactic acid,Organic acids,Bradyrhizobium sp. URHD0069,positive,0.999992208
lactic acid,Organic acids,Burkholderia sp. URHA0054,positive,0.997823413
lactic acid,Organic acids,Caulobacter sp. URHA0033,positive,0.96064479
lactic acid,Organic acids,Cellulomonas sp. URHD0024,undefined,0.81864197
lactic acid,Organic acids,Cellulomonas sp. URHE0023,undefined,0.994319778
lactic acid,Organic acids,Comamonadaceae bacterium URHA0028,positive,0.999999885
lactic acid,Organic acids,Dongia sp. URHE0060,positive,0.99810823
lactic acid,Organic acids,Flavobacterium sp. URHB0058,undefined,0.999996999
lactic acid,Organic acids,Geodermatophilaceae bacterium URHA0031,negative,0.963125118
lactic acid,Organic acids,Geodermatophilaceae bacterium URHB0048,negative,0.959935443
lactic acid,Organic acids,Geodermatophilaceae bacterium URHB0062,negative,0.989783147
lactic acid,Organic acids,Intrasporangiaceae bacterium URHB0013,undefined,0.999853451
lactic acid,Organic acids,Lysobacter sp. URHA0019,undefined,0.999989889
lactic acid,Organic acids,Marmoricola sp. URHB0036,undefined,0.91375756
lactic acid,Organic acids,Mesorhizobium sp. URHA0056,positive,0.999995759
lactic acid,Organic acids,Mesorhizobium sp. URHB0007,positive,0.999708843
lactic acid,Organic acids,Mesorhizobium sp. URHC0008,positive,0.852708908
lactic acid,Organic acids,Microbacterium sp. URHA0036,undefined,0.99998119
lactic acid,Organic acids,Micromonosporaceae bacterium URHE0070,negative,0.867998334
lactic acid,Organic acids,Mycobacterium sp. URHB0044,positive,0.898689107
lactic acid,Organic acids,Mycobacterium sp. URHD0025,positive,0.879976547
lactic acid,Organic acids,Nocardioides sp. URHA0020,undefined,0.984323072
lactic acid,Organic acids,Nocardioides sp. URHA0032,undefined,0.694629027
lactic acid,Organic acids,Paenibacillus sp. URHA0014,negative,0.999959361
lactic acid,Organic acids,Pseudomonas sp. URHB0015,positive,0.97154708
lactic acid,Organic acids,Rhodospirillales bacterium URHD0017,positive,0.999999553
lactic acid,Organic acids,Rhodospirillales bacterium URHD0088,undefined,0.999996387
lactic acid,Organic acids,Solirubrobacter sp. URHD0082,negative,0.975949803
lactic acid,Organic acids,Solirubrobacterales bacterium URHD0059,negative,0.775855292
lactic acid,Organic acids,Sphingomonas sp. URHD0007,positive,0.99977327
lactic acid,Organic acids,Sphingomonas sp. URHD0057,positive,0.999997952
lactic acid,Organic acids,Staphylococcus sp. URHA0057,undefined,0.999932169
lactic acid,Organic acids,Streptomyces sp. URHA0041,positive,0.955878463
lactic acid,Organic acids,Variovorax sp. URHB0020,positive,0.999998277
leucine,Amino acids,Acidobacteriaceae bacterium URHE0068,positive,0.999877872
leucine,Amino acids,Bacillus sp. URHB0009,negative,0.999254652
leucine,Amino acids,Blastococcus sp. URHD0036,undefined,0.998795445
leucine,Amino acids,Bradyrhizobium sp. URHA0002,positive,0.999998958
leucine,Amino acids,Bradyrhizobium sp. URHA0013,positive,0.999998954
leucine,Amino acids,Bradyrhizobium sp. URHD0069,positive,0.999999999
leucine,Amino acids,Burkholderia sp. URHA0054,positive,0.999986984
leucine,Amino acids,Caulobacter sp. URHA0033,positive,0.99533301
leucine,Amino acids,Cellulomonas sp. URHD0024,undefined,0.999998506
leucine,Amino acids,Cellulomonas sp. URHE0023,undefined,1
leucine,Amino acids,Comamonadaceae bacterium URHA0028,positive,0.999999964
leucine,Amino acids,Dongia sp. URHE0060,positive,1
leucine,Amino acids,Flavobacterium sp. URHB0058,undefined,0.999999954
leucine,Amino acids,Geodermatophilaceae bacterium URHA0031,negative,0.999492202
leucine,Amino acids,Geodermatophilaceae bacterium URHB0048,negative,0.999991739
leucine,Amino acids,Geodermatophilaceae bacterium URHB0062,negative,0.99996145
leucine,Amino acids,Intrasporangiaceae bacterium URHB0013,undefined,0.999999912
leucine,Amino acids,Lysobacter sp. URHA0019,undefined,1
leucine,Amino acids,Marmoricola sp. URHB0036,undefined,0.999953237
leucine,Amino acids,Mesorhizobium sp. URHA0056,positive,0.999999979
leucine,Amino acids,Mesorhizobium sp. URHB0007,positive,0.999999975
leucine,Amino acids,Mesorhizobium sp. URHC0008,positive,0.999996463
leucine,Amino acids,Microbacterium sp. URHA0036,undefined,1
leucine,Amino acids,Micromonosporaceae bacterium URHE0070,negative,0.999951257
leucine,Amino acids,Mycobacterium sp. URHB0044,positive,0.993154034
leucine,Amino acids,Mycobacterium sp. URHD0025,positive,0.993686718
leucine,Amino acids,Nocardioides sp. URHA0020,undefined,0.99995627
leucine,Amino acids,Nocardioides sp. URHA0032,undefined,0.999999619
leucine,Amino acids,Paenibacillus sp. URHA0014,negative,0.99999998
leucine,Amino acids,Pseudomonas sp. URHB0015,positive,0.998345653
leucine,Amino acids,Rhodospirillales bacterium URHD0017,positive,1
leucine,Amino acids,Rhodospirillales bacterium URHD0088,undefined,1
leucine,Amino acids,Solirubrobacter sp. URHD0082,negative,0.999999888
leucine,Amino acids,Solirubrobacterales bacterium URHD0059,negative,0.999995494
leucine,Amino acids,Sphingomonas sp. URHD0007,positive,0.999998257
leucine,Amino acids,Sphingomonas sp. URHD0057,positive,0.99999998
leucine,Amino acids,Staphylococcus sp. URHA0057,undefined,0.999999743
leucine,Amino acids,Streptomyces sp. URHA0041,positive,0.999787233
leucine,Amino acids,Variovorax sp. URHB0020,positive,0.999999895
linoleic acid,Fatty acids,Acidobacteriaceae bacterium URHE0068,positive,0.394998081
linoleic acid,Fatty acids,Bacillus sp. URHB0009,negative,0.999336
linoleic acid,Fatty acids,Blastococcus sp. URHD0036,undefined,0.999336
linoleic acid,Fatty acids,Bradyrhizobium sp. URHA0002,positive,0.999336
linoleic acid,Fatty acids,Bradyrhizobium sp. URHA0013,positive,0.999336
linoleic acid,Fatty acids,Bradyrhizobium sp. URHD0069,positive,0.999336
linoleic acid,Fatty acids,Burkholderia sp. URHA0054,positive,0.999336
linoleic acid,Fatty acids,Caulobacter sp. URHA0033,positive,0.999336
linoleic acid,Fatty acids,Cellulomonas sp. URHD0024,undefined,0.999336
linoleic acid,Fatty acids,Cellulomonas sp. URHE0023,undefined,0.999336
linoleic acid,Fatty acids,Comamonadaceae bacterium URHA0028,positive,0.999336
linoleic acid,Fatty acids,Dongia sp. URHE0060,positive,0.923239547
linoleic acid,Fatty acids,Flavobacterium sp. URHB0058,undefined,0.999336
linoleic acid,Fatty acids,Geodermatophilaceae bacterium URHA0031,negative,0.999336
linoleic acid,Fatty acids,Geodermatophilaceae bacterium URHB0048,negative,0.999336
linoleic acid,Fatty acids,Geodermatophilaceae bacterium URHB0062,negative,0.999336
linoleic acid,Fatty acids,Intrasporangiaceae bacterium URHB0013,undefined,0.999336
linoleic acid,Fatty acids,Lysobacter sp. URHA0019,undefined,0.999336
linoleic acid,Fatty acids,Marmoricola sp. URHB0036,undefined,0.999336
linoleic acid,Fatty acids,Mesorhizobium sp. URHA0056,positive,0.999336
linoleic acid,Fatty acids,Mesorhizobium sp. URHB0007,positive,0.999336
linoleic acid,Fatty acids,Mesorhizobium sp. URHC0008,positive,0.88950025
linoleic acid,Fatty acids,Microbacterium sp. URHA0036,undefined,0.999336
linoleic acid,Fatty acids,Micromonosporaceae bacterium URHE0070,negative,0.999336
linoleic acid,Fatty acids,Mycobacterium sp. URHB0044,positive,0.999336
linoleic acid,Fatty acids,Mycobacterium sp. URHD0025,positive,0.999336
linoleic acid,Fatty acids,Nocardioides sp. URHA0020,undefined,0.999336
linoleic acid,Fatty acids,Nocardioides sp. URHA0032,undefined,0.999336
linoleic acid,Fatty acids,Paenibacillus sp. URHA0014,negative,0.999336
linoleic acid,Fatty acids,Pseudomonas sp. URHB0015,positive,0.999336
linoleic acid,Fatty acids,Rhodospirillales bacterium URHD0017,positive,0.999336
linoleic acid,Fatty acids,Rhodospirillales bacterium URHD0088,undefined,0.997198749
linoleic acid,Fatty acids,Solirubrobacter sp. URHD0082,negative,0.999336
linoleic acid,Fatty acids,Solirubrobacterales bacterium URHD0059,negative,0.997243
linoleic acid,Fatty acids,Sphingomonas sp. URHD0007,positive,0.999336
linoleic acid,Fatty acids,Sphingomonas sp. URHD0057,positive,0.999336
linoleic acid,Fatty acids,Staphylococcus sp. URHA0057,undefined,0.999336
linoleic acid,Fatty acids,Streptomyces sp. URHA0041,positive,0.999336
linoleic acid,Fatty acids,Variovorax sp. URHB0020,positive,0.999336
lysine,Amino acids,Acidobacteriaceae bacterium URHE0068,positive,0.999823566
lysine,Amino acids,Bacillus sp. URHB0009,negative,0.999003376
lysine,Amino acids,Blastococcus sp. URHD0036,undefined,0.998418311
lysine,Amino acids,Bradyrhizobium sp. URHA0002,positive,0.999998406
lysine,Amino acids,Bradyrhizobium sp. URHA0013,positive,0.999998581
lysine,Amino acids,Bradyrhizobium sp. URHD0069,positive,0.999999998
lysine,Amino acids,Burkholderia sp. URHA0054,positive,0.999980404
lysine,Amino acids,Caulobacter sp. URHA0033,positive,0.994183361
lysine,Amino acids,Cellulomonas sp. URHD0024,undefined,0.999997584
lysine,Amino acids,Cellulomonas sp. URHE0023,undefined,1
lysine,Amino acids,Comamonadaceae bacterium URHA0028,positive,0.999999958
lysine,Amino acids,Dongia sp. URHE0060,positive,1
lysine,Amino acids,Flavobacterium sp. URHB0058,undefined,0.999999936
lysine,Amino acids,Geodermatophilaceae bacterium URHA0031,negative,0.999309209
lysine,Amino acids,Geodermatophilaceae bacterium URHB0048,negative,0.999987733
lysine,Amino acids,Geodermatophilaceae bacterium URHB0062,negative,0.999943994
lysine,Amino acids,Intrasporangiaceae bacterium URHB0013,undefined,0.999999883
lysine,Amino acids,Lysobacter sp. URHA0019,undefined,1
lysine,Amino acids,Marmoricola sp. URHB0036,undefined,0.999933372
lysine,Amino acids,Mesorhizobium sp. URHA0056,positive,0.999999977
lysine,Amino acids,Mesorhizobium sp. URHB0007,positive,0.999999969
lysine,Amino acids,Mesorhizobium sp. URHC0008,positive,0.999994141
lysine,Amino acids,Microbacterium sp. URHA0036,undefined,1
lysine,Amino acids,Micromonosporaceae bacterium URHE0070,negative,0.999927275
lysine,Amino acids,Mycobacterium sp. URHB0044,positive,0.991608275
lysine,Amino acids,Mycobacterium sp. URHD0025,positive,0.992230434
lysine,Amino acids,Nocardioides sp. URHA0020,undefined,0.999936748
lysine,Amino acids,Nocardioides sp. URHA0032,undefined,0.999999316
lysine,Amino acids,Paenibacillus sp. URHA0014,negative,0.999999966
lysine,Amino acids,Pseudomonas sp. URHB0015,positive,0.997850606
lysine,Amino acids,Rhodospirillales bacterium URHD0017,positive,1
lysine,Amino acids,Rhodospirillales bacterium URHD0088,undefined,1
lysine,Amino acids,Solirubrobacter sp. URHD0082,negative,0.999999844
lysine,Amino acids,Solirubrobacterales bacterium URHD0059,negative,0.999992566
lysine,Amino acids,Sphingomonas sp. URHD0007,positive,0.999997381
lysine,Amino acids,Sphingomonas sp. URHD0057,positive,0.99999996
lysine,Amino acids,Staphylococcus sp. URHA0057,undefined,0.999999636
lysine,Amino acids,Streptomyces sp. URHA0041,positive,0.99970081
lysine,Amino acids,Variovorax sp. URHB0020,positive,0.999999863
malic acid,Organic acids,Acidobacteriaceae bacterium URHE0068,positive,0.585414032
malic acid,Organic acids,Bacillus sp. URHB0009,negative,0.986032314
malic acid,Organic acids,Blastococcus sp. URHD0036,undefined,0.732257297
malic acid,Organic acids,Bradyrhizobium sp. URHA0002,positive,0.999840423
malic acid,Organic acids,Bradyrhizobium sp. URHA0013,positive,0.999928327
malic acid,Organic acids,Bradyrhizobium sp. URHD0069,positive,0.99999624
malic acid,Organic acids,Burkholderia sp. URHA0054,positive,0.998729278
malic acid,Organic acids,Caulobacter sp. URHA0033,positive,0.968528009
malic acid,Organic acids,Cellulomonas sp. URHD0024,undefined,0.782895605
malic acid,Organic acids,Cellulomonas sp. URHE0023,undefined,0.989614118
malic acid,Organic acids,Comamonadaceae bacterium URHA0028,positive,0.999999905
malic acid,Organic acids,Dongia sp. URHE0060,positive,0.997050108
malic acid,Organic acids,Flavobacterium sp. URHB0058,undefined,0.999998644
malic acid,Organic acids,Geodermatophilaceae bacterium URHA0031,negative,0.965558428
malic acid,Organic acids,Geodermatophilaceae bacterium URHB0048,negative,0.951567265
malic acid,Organic acids,Geodermatophilaceae bacterium URHB0062,negative,0.990956459
malic acid,Organic acids,Intrasporangiaceae bacterium URHB0013,undefined,0.999867197
malic acid,Organic acids,Lysobacter sp. URHA0019,undefined,0.999988333
malic acid,Organic acids,Marmoricola sp. URHB0036,undefined,0.895074688
malic acid,Organic acids,Mesorhizobium sp. URHA0056,positive,0.999994464
malic acid,Organic acids,Mesorhizobium sp. URHB0007,positive,0.999531124
malic acid,Organic acids,Mesorhizobium sp. URHC0008,positive,0.823575134
malic acid,Organic acids,Microbacterium sp. URHA0036,undefined,0.999976781
malic acid,Organic acids,Micromonosporaceae bacterium URHE0070,negative,0.84734333
malic acid,Organic acids,Mycobacterium sp. URHB0044,positive,0.904155381
malic acid,Organic acids,Mycobacterium sp. URHD0025,positive,0.882102138
malic acid,Organic acids,Nocardioides sp. URHA0020,undefined,0.981654093
malic acid,Organic acids,Nocardioides sp. URHA0032,undefined,0.647438838
malic acid,Organic acids,Paenibacillus sp. URHA0014,negative,0.999981653
malic acid,Organic acids,Pseudomonas sp. URHB0015,positive,0.981569324
malic acid,Organic acids,Rhodospirillales bacterium URHD0017,positive,0.999999877
malic acid,Organic acids,Rhodospirillales bacterium URHD0088,undefined,0.99999628
malic acid,Organic acids,Solirubrobacter sp. URHD0082,negative,0.965739419
malic acid,Organic acids,Solirubrobacterales bacterium URHD0059,negative,0.73672292
malic acid,Organic acids,Sphingomonas sp. URHD0007,positive,0.999582501
malic acid,Organic acids,Sphingomonas sp. URHD0057,positive,0.999996794
malic acid,Organic acids,Staphylococcus sp. URHA0057,undefined,0.999965386
malic acid,Organic acids,Streptomyces sp. URHA0041,positive,0.955914478
malic acid,Organic acids,Variovorax sp. URHB0020,positive,0.99999906
malonic acid ,Organic acids,Acidobacteriaceae bacterium URHE0068,positive,0.704536439
malonic acid ,Organic acids,Bacillus sp. URHB0009,negative,0.977232196
malonic acid ,Organic acids,Blastococcus sp. URHD0036,undefined,0.808685605
malonic acid ,Organic acids,Bradyrhizobium sp. URHA0002,positive,0.999739165
malonic acid ,Organic acids,Bradyrhizobium sp. URHA0013,positive,0.999891734
malonic acid ,Organic acids,Bradyrhizobium sp. URHD0069,positive,0.999992951
malonic acid ,Organic acids,Burkholderia sp. URHA0054,positive,0.997644226
malonic acid ,Organic acids,Caulobacter sp. URHA0033,positive,0.961161898
malonic acid ,Organic acids,Cellulomonas sp. URHD0024,undefined,0.877650118
malonic acid ,Organic acids,Cellulomonas sp. URHE0023,undefined,0.998444179
malonic acid ,Organic acids,Comamonadaceae bacterium URHA0028,positive,0.999999885
malonic acid ,Organic acids,Dongia sp. URHE0060,positive,0.999349611
malonic acid ,Organic acids,Flavobacterium sp. URHB0058,undefined,0.999996571
malonic acid ,Organic acids,Geodermatophilaceae bacterium URHA0031,negative,0.968850122
malonic acid ,Organic acids,Geodermatophilaceae bacterium URHB0048,negative,0.975423946
malonic acid ,Organic acids,Geodermatophilaceae bacterium URHB0062,negative,0.991676231
malonic acid ,Organic acids,Intrasporangiaceae bacterium URHB0013,undefined,0.999909512
malonic acid ,Organic acids,Lysobacter sp. URHA0019,undefined,0.999996324
malonic acid ,Organic acids,Marmoricola sp. URHB0036,undefined,0.945248791
malonic acid ,Organic acids,Mesorhizobium sp. URHA0056,positive,0.999998069
malonic acid ,Organic acids,Mesorhizobium sp. URHB0007,positive,0.999910796
malonic acid ,Organic acids,Mesorhizobium sp. URHC0008,positive,0.901477631
malonic acid ,Organic acids,Microbacterium sp. URHA0036,undefined,0.999993258
malonic acid ,Organic acids,Micromonosporaceae bacterium URHE0070,negative,0.906803016
malonic acid ,Organic acids,Mycobacterium sp. URHB0044,positive,0.909102032
malonic acid ,Organic acids,Mycobacterium sp. URHD0025,positive,0.895309711
malonic acid ,Organic acids,Nocardioides sp. URHA0020,undefined,0.990545148
malonic acid ,Organic acids,Nocardioides sp. URHA0032,undefined,0.776159793
malonic acid ,Organic acids,Paenibacillus sp. URHA0014,negative,0.999956524
malonic acid ,Organic acids,Pseudomonas sp. URHB0015,positive,0.967342087
malonic acid ,Organic acids,Rhodospirillales bacterium URHD0017,positive,0.999999445
malonic acid ,Organic acids,Rhodospirillales bacterium URHD0088,undefined,0.999998585
malonic acid ,Organic acids,Solirubrobacter sp. URHD0082,negative,0.989033792
malonic acid ,Organic acids,Solirubrobacterales bacterium URHD0059,negative,0.842227139
malonic acid ,Organic acids,Sphingomonas sp. URHD0007,positive,0.999944111
malonic acid ,Organic acids,Sphingomonas sp. URHD0057,positive,0.999999546
malonic acid ,Organic acids,Staphylococcus sp. URHA0057,undefined,0.999927055
malonic acid ,Organic acids,Streptomyces sp. URHA0041,positive,0.964963473
malonic acid ,Organic acids,Variovorax sp. URHB0020,positive,0.999998063
methionine ,Amino acids,Acidobacteriaceae bacterium URHE0068,positive,0.999401188
methionine ,Amino acids,Bacillus sp. URHB0009,negative,0.996891968
methionine ,Amino acids,Blastococcus sp. URHD0036,undefined,0.995864209
methionine ,Amino acids,Bradyrhizobium sp. URHA0002,positive,0.999992435
methionine ,Amino acids,Bradyrhizobium sp. URHA0013,positive,0.999995447
methionine ,Amino acids,Bradyrhizobium sp. URHD0069,positive,0.999999978
methionine ,Amino acids,Burkholderia sp. URHA0054,positive,0.999900531
methionine ,Amino acids,Caulobacter sp. URHA0033,positive,0.988565572
methionine ,Amino acids,Cellulomonas sp. URHD0024,undefined,0.999988109
methionine ,Amino acids,Cellulomonas sp. URHE0023,undefined,1
methionine ,Amino acids,Comamonadaceae bacterium URHA0028,positive,0.999999939
methionine ,Amino acids,Dongia sp. URHE0060,positive,0.999999999
methionine ,Amino acids,Flavobacterium sp. URHB0058,undefined,0.999999778
methionine ,Amino acids,Geodermatophilaceae bacterium URHA0031,negative,0.997988101
methionine ,Amino acids,Geodermatophilaceae bacterium URHB0048,negative,0.999952588
methionine ,Amino acids,Geodermatophilaceae bacterium URHB0062,negative,0.999778557
methionine ,Amino acids,Intrasporangiaceae bacterium URHB0013,undefined,0.999999615
methionine ,Amino acids,Lysobacter sp. URHA0019,undefined,0.999999997
methionine ,Amino acids,Marmoricola sp. URHB0036,undefined,0.999821435
methionine ,Amino acids,Mesorhizobium sp. URHA0056,positive,0.999999966
methionine ,Amino acids,Mesorhizobium sp. URHB0007,positive,0.999999942
methionine ,Amino acids,Mesorhizobium sp. URHC0008,positive,0.999968834
methionine ,Amino acids,Microbacterium sp. URHA0036,undefined,0.999999999
methionine ,Amino acids,Micromonosporaceae bacterium URHE0070,negative,0.999699621
methionine ,Amino acids,Mycobacterium sp. URHB0044,positive,0.983465132
methionine ,Amino acids,Mycobacterium sp. URHD0025,positive,0.984407924
methionine ,Amino acids,Nocardioides sp. URHA0020,undefined,0.999836944
methionine ,Amino acids,Nocardioides sp. URHA0032,undefined,0.999996347
methionine ,Amino acids,Paenibacillus sp. URHA0014,negative,0.999999698
methionine ,Amino acids,Pseudomonas sp. URHB0015,positive,0.993902723
methionine ,Amino acids,Rhodospirillales bacterium URHD0017,positive,0.999999997
methionine ,Amino acids,Rhodospirillales bacterium URHD0088,undefined,1
methionine ,Amino acids,Solirubrobacter sp. URHD0082,negative,0.999999549
methionine ,Amino acids,Solirubrobacterales bacterium URHD0059,negative,0.999966406
methionine ,Amino acids,Sphingomonas sp. URHD0007,positive,0.999996291
methionine ,Amino acids,Sphingomonas sp. URHD0057,positive,0.999999909
methionine ,Amino acids,Staphylococcus sp. URHA0057,undefined,0.999998389
methionine ,Amino acids,Streptomyces sp. URHA0041,positive,0.99895467
methionine ,Amino acids,Variovorax sp. URHB0020,positive,0.999999663
N-acetyl-D-glucosamine ,Sugars,Acidobacteriaceae bacterium URHE0068,positive,0.997310768
N-acetyl-D-glucosamine ,Sugars,Bacillus sp. URHB0009,negative,0.999386
N-acetyl-D-glucosamine ,Sugars,Blastococcus sp. URHD0036,undefined,0.994986624
N-acetyl-D-glucosamine ,Sugars,Bradyrhizobium sp. URHA0002,positive,0.999223378
N-acetyl-D-glucosamine ,Sugars,Bradyrhizobium sp. URHA0013,positive,0.999972082
N-acetyl-D-glucosamine ,Sugars,Bradyrhizobium sp. URHD0069,positive,0.999993334
N-acetyl-D-glucosamine ,Sugars,Burkholderia sp. URHA0054,positive,0.999992972
N-acetyl-D-glucosamine ,Sugars,Caulobacter sp. URHA0033,positive,0.995717991
N-acetyl-D-glucosamine ,Sugars,Cellulomonas sp. URHD0024,undefined,0.999999385
N-acetyl-D-glucosamine ,Sugars,Cellulomonas sp. URHE0023,undefined,1
N-acetyl-D-glucosamine ,Sugars,Comamonadaceae bacterium URHA0028,positive,0.99999742
N-acetyl-D-glucosamine ,Sugars,Dongia sp. URHE0060,positive,1
N-acetyl-D-glucosamine ,Sugars,Flavobacterium sp. URHB0058,undefined,0.999999959
N-acetyl-D-glucosamine ,Sugars,Geodermatophilaceae bacterium URHA0031,negative,0.999280923
N-acetyl-D-glucosamine ,Sugars,Geodermatophilaceae bacterium URHB0048,negative,0.999954831
N-acetyl-D-glucosamine ,Sugars,Geodermatophilaceae bacterium URHB0062,negative,0.999966838
N-acetyl-D-glucosamine ,Sugars,Intrasporangiaceae bacterium URHB0013,undefined,0.999999842
N-acetyl-D-glucosamine ,Sugars,Lysobacter sp. URHA0019,undefined,0.999941137
N-acetyl-D-glucosamine ,Sugars,Marmoricola sp. URHB0036,undefined,0.999964886
N-acetyl-D-glucosamine ,Sugars,Mesorhizobium sp. URHA0056,positive,0.999999979
N-acetyl-D-glucosamine ,Sugars,Mesorhizobium sp. URHB0007,positive,0.999999975
N-acetyl-D-glucosamine ,Sugars,Mesorhizobium sp. URHC0008,positive,0.999997805
N-acetyl-D-glucosamine ,Sugars,Microbacterium sp. URHA0036,undefined,1
N-acetyl-D-glucosamine ,Sugars,Micromonosporaceae bacterium URHE0070,negative,0.99996476
N-acetyl-D-glucosamine ,Sugars,Mycobacterium sp. URHB0044,positive,0.990788473
N-acetyl-D-glucosamine ,Sugars,Mycobacterium sp. URHD0025,positive,0.982279812
N-acetyl-D-glucosamine ,Sugars,Nocardioides sp. URHA0020,undefined,0.999945783
N-acetyl-D-glucosamine ,Sugars,Nocardioides sp. URHA0032,undefined,0.999987211
N-acetyl-D-glucosamine ,Sugars,Paenibacillus sp. URHA0014,negative,0.999999998
N-acetyl-D-glucosamine ,Sugars,Pseudomonas sp. URHB0015,positive,0.997991569
N-acetyl-D-glucosamine ,Sugars,Rhodospirillales bacterium URHD0017,positive,0.999998055
N-acetyl-D-glucosamine ,Sugars,Rhodospirillales bacterium URHD0088,undefined,0.999999987
N-acetyl-D-glucosamine ,Sugars,Solirubrobacter sp. URHD0082,negative,0.999999889
N-acetyl-D-glucosamine ,Sugars,Solirubrobacterales bacterium URHD0059,negative,0.999998218
N-acetyl-D-glucosamine ,Sugars,Sphingomonas sp. URHD0007,positive,0.999999931
N-acetyl-D-glucosamine ,Sugars,Sphingomonas sp. URHD0057,positive,0.999994621
N-acetyl-D-glucosamine ,Sugars,Staphylococcus sp. URHA0057,undefined,0.999999488
N-acetyl-D-glucosamine ,Sugars,Streptomyces sp. URHA0041,positive,0.99984411
N-acetyl-D-glucosamine ,Sugars,Variovorax sp. URHB0020,positive,0.999997257
nicotinic acid,Organic acids,Acidobacteriaceae bacterium URHE0068,positive,0.537100266
nicotinic acid,Organic acids,Bacillus sp. URHB0009,negative,0.99718685
nicotinic acid,Organic acids,Blastococcus sp. URHD0036,undefined,0.709237308
nicotinic acid,Organic acids,Bradyrhizobium sp. URHA0002,positive,0.999980075
nicotinic acid,Organic acids,Bradyrhizobium sp. URHA0013,positive,0.999986895
