monomer,ontology,isolate,response,percent_uptake
3-Dehydroshikimic acid,Organic acids,Bradyrhizobium sp. URHA0013,positive,0.999979249
3-Dehydroshikimic acid,Organic acids,Bradyrhizobium sp. URHD0069,positive,0.999999519
3-Dehydroshikimic acid,Organic acids,Burkholderia sp. URHA0054,positive,0.99979149
3-Dehydroshikimic acid,Organic acids,Caulobacter sp. URHA0033,positive,0.983885195
3-Dehydroshikimic acid,Organic acids,Cellulomonas sp. URHD0024,undefined,0.683839459
3-Dehydroshikimic acid,Organic acids,Cellulomonas sp. URHE0023,undefined,0.96529486
3-Dehydroshikimic acid,Organic acids,Comamonadaceae bacterium URHA0028,positive,0.999999943
3-Dehydroshikimic acid,Organic acids,Dongia sp. URHE0060,positive,0.99124005
3-Dehydroshikimic acid,Organic acids,Flavobacterium sp. URHB0058,undefined,0.999999846
3-Dehydroshikimic acid,Organic acids,Geodermatophilaceae bacterium URHA0031,negative,0.968588783
3-Dehydroshikimic acid,Organic acids,Geodermatophilaceae bacterium URHB0048,negative,0.920370139
3-Dehydroshikimic acid,Organic acids,Geodermatophilaceae bacterium URHB0062,negative,0.992689664
3-Dehydroshikimic acid,Organic acids,Intrasporangiaceae bacterium URHB0013,undefined,0.999870263
3-Dehydroshikimic acid,Organic acids,Lysobacter sp. URHA0019,undefined,0.999976444
3-Dehydroshikimic acid,Organic acids,Marmoricola sp. URHB0036,undefined,0.833977598
3-Dehydroshikimic acid,Organic acids,Mesorhizobium sp. URHA0056,positive,0.999985823
3-Dehydroshikimic acid,Organic acids,Mesorhizobium sp. URHB0007,positive,0.998348921
3-Dehydroshikimic acid,Organic acids,Mesorhizobium sp. URHC0008,positive,0.738012284
3-Dehydroshikimic acid,Organic acids,Microbacterium sp. URHA0036,undefined,0.999946439
3-Dehydroshikimic acid,Organic acids,Micromonosporaceae bacterium URHE0070,negative,0.78241737
3-Dehydroshikimic acid,Organic acids,Mycobacterium sp. URHB0044,positive,0.912308979
3-Dehydroshikimic acid,Organic acids,Mycobacterium sp. URHD0025,positive,0.880161749
3-Dehydroshikimic acid,Organic acids,Nocardioides sp. URHA0020,undefined,0.970270834
3-Dehydroshikimic acid,Organic acids,Nocardioides sp. URHA0032,undefined,0.532643084
3-Dehydroshikimic acid,Organic acids,Paenibacillus sp. URHA0014,negative,0.999998438
3-Dehydroshikimic acid,Organic acids,Pseudomonas sp. URHB0015,positive,0.996937876
3-Dehydroshikimic acid,Organic acids,Rhodospirillales bacterium URHD0017,positive,0.999999998
3-Dehydroshikimic acid,Organic acids,Rhodospirillales bacterium URHD0088,undefined,0.999994178
3-Dehydroshikimic acid,Organic acids,Solirubrobacter sp. URHD0082,negative,0.925737996
3-Dehydroshikimic acid,Organic acids,Solirubrobacterales bacterium URHD0059,negative,0.632645252
3-Dehydroshikimic acid,Organic acids,Sphingomonas sp. URHD0007,positive,0.998150219
3-Dehydroshikimic acid,Organic acids,Sphingomonas sp. URHD0057,positive,0.999986652
3-Dehydroshikimic acid,Organic acids,Staphylococcus sp. URHA0057,undefined,0.999994975
3-Dehydroshikimic acid,Organic acids,Streptomyces sp. URHA0041,positive,0.951631815
3-Dehydroshikimic acid,Organic acids,Variovorax sp. URHB0020,positive,0.999999818
5-aminovaleric acid,Amino acids,Acidobacteriaceae bacterium URHE0068,positive,0.999709934
5-aminovaleric acid,Amino acids,Bacillus sp. URHB0009,negative,0.998227731
5-aminovaleric acid,Amino acids,Blastococcus sp. URHD0036,undefined,0.997573881
5-aminovaleric acid,Amino acids,Bradyrhizobium sp. URHA0002,positive,0.999997072
5-aminovaleric acid,Amino acids,Bradyrhizobium sp. URHA0013,positive,0.999997743
5-aminovaleric acid,Amino acids,Bradyrhizobium sp. URHD0069,positive,0.999999995
5-aminovaleric acid,Amino acids,Burkholderia sp. URHA0054,positive,0.99995716
5-aminovaleric acid,Amino acids,Caulobacter sp. URHA0033,positive,0.992625241
5-aminovaleric acid,Amino acids,Cellulomonas sp. URHD0024,undefined,0.999995683
5-aminovaleric acid,Amino acids,Cellulomonas sp. URHE0023,undefined,1
5-aminovaleric acid,Amino acids,Comamonadaceae bacterium URHA0028,positive,0.999999954
5-aminovaleric acid,Amino acids,Dongia sp. URHE0060,positive,1
5-aminovaleric acid,Amino acids,Flavobacterium sp. URHB0058,undefined,0.999999898
5-aminovaleric acid,Amino acids,Geodermatophilaceae bacterium URHA0031,negative,0.998902117
5-aminovaleric acid,Amino acids,Geodermatophilaceae bacterium URHB0048,negative,0.999979918
5-aminovaleric acid,Amino acids,Geodermatophilaceae bacterium URHB0062,negative,0.999897467
5-aminovaleric acid,Amino acids,Intrasporangiaceae bacterium URHB0013,undefined,0.999999809
5-aminovaleric acid,Amino acids,Lysobacter sp. URHA0019,undefined,0.999999999
5-aminovaleric acid,Amino acids,Marmoricola sp. URHB0036,undefined,0.999916468
5-aminovaleric acid,Amino acids,Mesorhizobium sp. URHA0056,positive,0.999999974
5-aminovaleric acid,Amino acids,Mesorhizobium sp. URHB0007,positive,0.999999961
5-aminovaleric acid,Amino acids,Mesorhizobium sp. URHC0008,positive,0.999988583
5-aminovaleric acid,Amino acids,Microbacterium sp. URHA0036,undefined,1
5-aminovaleric acid,Amino acids,Micromonosporaceae bacterium URHE0070,negative,0.999863236
5-aminovaleric acid,Amino acids,Mycobacterium sp. URHB0044,positive,0.988929198
5-aminovaleric acid,Amino acids,Mycobacterium sp. URHD0025,positive,0.98962896
5-aminovaleric acid,Amino acids,Nocardioides sp. URHA0020,undefined,0.999926119
5-aminovaleric acid,Amino acids,Nocardioides sp. URHA0032,undefined,0.999998896
5-aminovaleric acid,Amino acids,Paenibacillus sp. URHA0014,negative,0.999999906
5-aminovaleric acid,Amino acids,Pseudomonas sp. URHB0015,positive,0.996300487
5-aminovaleric acid,Amino acids,Rhodospirillales bacterium URHD0017,positive,0.999999999
5-aminovaleric acid,Amino acids,Rhodospirillales bacterium URHD0088,undefined,1
5-aminovaleric acid,Amino acids,Solirubrobacter sp. URHD0082,negative,0.999999787
5-aminovaleric acid,Amino acids,Solirubrobacterales bacterium URHD0059,negative,0.999987684
5-aminovaleric acid,Amino acids,Sphingomonas sp. URHD0007,positive,0.999998508
5-aminovaleric acid,Amino acids,Sphingomonas sp. URHD0057,positive,0.99999998
5-aminovaleric acid,Amino acids,Staphylococcus sp. URHA0057,undefined,0.999999267
5-aminovaleric acid,Amino acids,Streptomyces sp. URHA0041,positive,0.999463836
5-aminovaleric acid,Amino acids,Variovorax sp. URHB0020,positive,0.999999812
abscisic acid,Organic acids,Acidobacteriaceae bacterium URHE0068,positive,0.404294697
abscisic acid,Organic acids,Bacillus sp. URHB0009,negative,0.999436318
abscisic acid,Organic acids,Blastococcus sp. URHD0036,undefined,0.586429611
abscisic acid,Organic acids,Bradyrhizobium sp. URHA0002,positive,0.999987974
abscisic acid,Organic acids,Bradyrhizobium sp. URHA0013,positive,0.999990023
abscisic acid,Organic acids,Bradyrhizobium sp. URHD0069,positive,0.999999873
abscisic acid,Organic acids,Burkholderia sp. URHA0054,positive,0.999964165
abscisic acid,Organic acids,Caulobacter sp. URHA0033,positive,0.990215073
abscisic acid,Organic acids,Cellulomonas sp. URHD0024,undefined,0.595769204
abscisic acid,Organic acids,Cellulomonas sp. URHE0023,undefined,0.926538917
