KD,Vmax,ontology,response
0.003432464548534598,1.1235810925651605e-8,Organic acids,positive
0.002691842730920881,1.1480492329167342e-8,Organic acids,positive
0.0012764435833059412,1.157613092208905e-9,Organic acids,undefined
0.0012483756595551307,6.836679195793768e-10,Organic acids,undefined
0.0028247701240834053,1.6107958985360112e-8,Organic acids,positive
0.0013738116552248268,1.2205822082755349e-9,Organic acids,positive
0.003511836889922461,2.0055910443751454e-8,Organic acids,undefined
0.0018975299057711558,7.2296926078067806e-9,Organic acids,negative
0.0014153169664778812,2.7120839214418197e-9,Organic acids,negative
0.0019602631635223257,8.168520275801759e-9,Organic acids,negative
0.0018184333947553208,7.965881227934095e-9,Organic acids,undefined
0.0016365130925690037,8.657451764237688e-9,Organic acids,undefined
0.0013455199790910744,1.7677551514565034e-9,Organic acids,undefined
0.0015133015329597487,2.0417309812040867e-9,Organic acids,positive
0.001409780882266621,1.4637832396442237e-9,Organic acids,positive
0.0013048164457252164,5.676505203213891e-10,Organic acids,positive
0.0015930086289487107,6.142182447694446e-9,Organic acids,undefined
0.001370886462517339,1.026287639363648e-9,Organic acids,negative
0.0019338805882769413,4.2669264567235275e-9,Organic acids,positive
0.0017864579277127068,4.133985742195728e-9,Organic acids,positive
0.0015021281846793876,3.88382381499554e-9,Organic acids,undefined
0.0012403673255830397,5.606674041190602e-10,Organic acids,undefined
0.003103304446710184,1.0660607193436781e-8,Organic acids,negative
0.007592066526273374,3.889732095206314e-8,Organic acids,positive
0.003569793448220092,1.0041461896645146e-8,Organic acids,positive
0.0017039158937614046,3.0288879930627795e-9,Organic acids,undefined
0.001302916297943727,7.49219916432265e-10,Organic acids,negative
0.001271062359617662,5.27101584939421e-10,Organic acids,negative
0.0013597728704856046,3.735173109467577e-9,Organic acids,positive
0.0015164421599900225,8.015741623812001e-9,Organic acids,positive
0.0031948655185094986,5.968042618991691e-8,Organic acids,undefined
0.001722912166515139,2.7076438907721385e-9,Organic acids,positive
0.003650981963192104,1.4764558428258963e-8,Organic acids,positive
0.0013257838652373595,4.2892493531232796e-10,Organic acids,positive
0.004503198233839318,2.9325751375717558e-8,Organic acids,negative
0.0014390686692799014,1.9069549408558263e-9,Organic acids,undefined
0.0027681670459931773,8.01400208165491e-9,Organic acids,positive
0.0026784168652804617,7.150899294490014e-9,Organic acids,positive
0.0026717707623940758,7.81631721479192e-9,Organic acids,positive
0.0035821046711967523,1.1235810925651605e-8,Organic acids,positive
0.0028091950504413247,1.1480492329167342e-8,Organic acids,positive
0.0013320908220978952,1.157613092208905e-9,Organic acids,undefined
0.0013027992622414366,6.836679195793768e-10,Organic acids,undefined
