,monomer,mingt,rrn,genomesize,BGE,rgrowth_x,BP,BR,Formula,ChEBI_ID,Molecular_weight,Ontology,Xlogp3,rgrowth_y,xenzyme,rGco2,rMco2,rXco2,jEX,jDE,jDEco2,jD,jED,jV,jE,dreserve,latency
23,biotin ,4.04,7.0,5642219.0,0.4842918166862325,0.0178248042392139,1.6522268672102286e-09,1.0414630226358911e-09,C10H16N2O3S,15956,244.31172,Organic acids,0.33,0.0136612959892915,4.3046772314114e-05,9.955308267183356e-06,5.4123112954584066e-08,1.6889916470070467e-08,2.6233274517343496e-08,2.0145003338812317e-06,2.238333704312479e-07,2.238333704312479e-06,6.278234245129518e-08,3.340686652247924e-07,6.278234245129518e-08,0.0141687093910891,170.14339778740515
24,caffeic acid,4.04,7.0,5642219.0,0.4726336141796323,0.0178300259050488,1.6524877783454466e-09,1.121813875470862e-09,C9H8O4,36281,180.1574,Organic acids,1.15,0.013661579533777,4.266015411197043e-05,9.955308267183356e-06,5.412328448706286e-08,1.6889916470070467e-08,2.6233274517343496e-08,2.0135951794843047e-06,2.71695692565978e-07,2.2852908720502827e-06,6.209794406871985e-08,3.3387758857454e-07,6.209794406871985e-08,0.0141689289603054,169.6179673856901
25,choline,4.36,6.0,6067264.0,0.5529565853639127,0.060223970194399,8.214627572925842e-09,4.602703871910417e-09,C5H13NO,15354,104.1708,Amino acids,-0.4,0.060223970194399,0.0001746828308109,0.0004318704382073,4.184723087573127e-05,1.26575121795007e-06,2.5169830036267604e-06,0.0014932033658042,0.000373300841451,0.0018665042072553,3.030563841226277e-06,0.0013695424361234,3.030563841226277e-06,0.0758411528035587,131.51105528213702
26,cis-aconitic acid,4.04,7.0,5642219.0,0.4000292014340892,0.0178109714393005,1.651746000121468e-09,1.6579881152788322e-09,C6H6O6,32805,174.10824,Organic acids,-0.97,0.0136615497459467,4.244129638581014e-05,9.955308267183356e-06,4.584313375824264e-08,1.6889916470070467e-08,2.6233274517343496e-08,2.00271554913455e-06,6.247538301964924e-07,2.627469379331043e-06,5.74424719290212e-08,3.321779379138197e-07,5.74424719290212e-08,0.0141690085837373,167.4164104345969
27,cytidine,2.84,8.0,5135306.5,0.45217650925471986,0.0098950683568579,7.698367179537763e-10,1.082042540199843e-09,C9H13N3O5,17562,243.21674,Nucleotides,-2.13,0.0099210667545336,3.3283101254587275e-05,7.509541398216009e-07,8.57858066715042e-09,2.8838466881099366e-09,7.286136493520521e-09,2.533088342123882e-07,4.2152480965358546e-08,2.954613151777468e-07,4.728910686667962e-09,1.6425765341716118e-07,4.728910686667962e-09,0.0107558205561663,1.7705592769191512
28,deoxyguanosine,2.84,8.0,5135306.5,0.45217705772955924,0.00989482924049955,7.698100514292165e-10,1.0820167548783735e-09,C10H13N5O4,17172,267.2413,Nucleotides,-1.14,0.0099208570861844,3.328239576789348e-05,7.509507636223496e-07,8.578431671858964e-09,2.8838206161541742e-09,7.285976405036481e-09,2.53297959293931e-07,4.215067129774592e-08,2.9544863059167694e-07,4.728884981332776e-09,1.6425598557018786e-07,4.728884981332776e-09,0.0107557274581226,1.7705592609091436
29,fructose,4.36,6.0,6067264.0,0.5440959269427563,0.0550314146933201,7.225323217310898e-09,3.3700086918834123e-09,C6H12O6,15824,180.15588,Sugars,-4.5,0.0550314146933201,0.0001580866939901,0.0004247798704171,2.8234231908041857e-05,1.2662774034561365e-06,2.5952613416864e-06,0.0014304993281689,0.0003104734850184,0.0017409728131874,2.92695712370814e-06,0.0013356058407237,2.92695712370814e-06,0.0619946264855394,142.26376536270016
30,fumaric acid ,4.04,7.0,5642219.0,0.3345038315549341,0.0178426660749259,1.6511993022248812e-09,2.4009419399840513e-09,C4H4O4,18012,116.0722,Organic acids,-0.34,0.0136618092384679,4.251622703595363e-05,9.955308267183356e-06,4.204009165847437e-08,1.6889916470070467e-08,2.6233274517343496e-08,1.988485853899848e-06,1.1024247998304856e-06,3.0909106537303337e-06,5.251759378550369e-08,3.299048334481005e-07,5.251759378550369e-08,0.0141693214210184,164.6509188317611
31,glucose,4.36,6.0,6067264.0,0.5440959269427563,0.0550314146933201,7.225323217310898e-09,3.3700086918834123e-09,C6H12O6,17234,180.15588,Sugars,-2.94,0.0550314146933201,0.0001580866939901,0.0004247798704171,2.8234231908041857e-05,1.2662774034561365e-06,2.5952613416864e-06,0.0014304993281689,0.0003104734850184,0.0017409728131874,2.92695712370814e-06,0.0013356058407237,2.92695712370814e-06,0.0619946264855394,142.26376536270016
32,glycine ,4.36,6.0,6067264.0,0.1960781600808698,0.0617196076749523,7.990135239309778e-09,1.3043266257454081e-08,C2H5NO2,15428,75.06664,Amino acids,-3.21,0.0617196076749523,0.0001734136291608,4.428428267146611e-05,5.945967799833949e-06,1.4820318368609337e-07,2.820645014873347e-07,0.0001845598728696,0.0004592536371408,0.0006438135100105,3.767546893845714e-07,0.0002489391236052,3.767546893845714e-07,0.0752951911576688,119.31209999728004
